"Name","Depth","DistinguishedName","Link Order","GPO","Enforced","Link Enabled","BlockInheritance","gPLink","gPOptions"
"z - Groups","4","OU=z - Groups,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"ICTSI","3","OU=ICTSI,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Distribution Groups","5","OU=Distribution Groups,OU=z - Groups,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"KPMG","3","OU=KPMG,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Resources","3","OU=Resources,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Magna5","3","OU=Magna5,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SEG Computers TEST OU","2","OU=SEG Computers TEST OU,OU=SEG Computers,DC=solomonedwards,DC=com",,,,,"False"," ","0"
"Appsense","6","OU=Appsense,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"FDIC - Project Consultants","2","OU=FDIC - Project Consultants,OU=Organizational Units,DC=solomonedwards,DC=com","1","Default TS Settings","False","True","False","[LDAP://CN={77CF2806-152F-40EF-9B17-1CB783EBB863},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Groups","3","OU=Groups,OU=FDIC - Project Consultants,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False"," ","0"
"Groups","6","OU=Groups,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"InfoNet Access","4","OU=InfoNet Access,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"WSUS Computers","1","OU=WSUS Computers,DC=solomonedwards,DC=com","1","PHLPST02 WSUS","False","True","False","[LDAP://CN={0FCDA1F5-2D72-43B3-8ECC-FD868EC4DB34},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Currently Working","1","OU=Currently Working,DC=solomonedwards,DC=com",,,,,"False","",""
"SBA","2","OU=SBA,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Mail Enabled Security Groups","5","OU=Mail Enabled Security Groups,OU=z - Groups,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Sharepoint Groups","2","OU=Sharepoint Groups,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Travel","5","OU=Travel,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"GA - Atlanta","3","OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Inner Office","5","OU=Inner Office,OU=Consulting,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Exchange Features Removed","3","OU=Exchange Features Removed,OU=Ex-Employees,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Inner Office","5","OU=Inner Office,OU=Consulting,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SBA Project","3","OU=SBA Project,OU=SBA,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Marketing","5","OU=Marketing,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","{7F1C33CC-7D69-4D78-8356-310F6E580951}","False","True","False","[LDAP://CN={7F1C33CC-7D69-4D78-8356-310F6E580951},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"H.R.","5","OU=H.R.,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Telemarketer","4","OU=Telemarketer,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False"," ",""
"z - Groups","4","OU=z - Groups,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Baumstein","3","OU=Baumstein,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Mail Enabled Security Groups","5","OU=Mail Enabled Security Groups,OU=z - Groups,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"NJ - New Jersey","3","OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Distribution Groups","5","OU=Distribution Groups,OU=z - Groups,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Admin Staff","4","OU=Admin Staff,OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Citrix Users","2","OU=Citrix Users,OU=Organizational Units,DC=solomonedwards,DC=com","1","TS Client Time","False","True","False","[LDAP://CN={C75E1C3F-9BD3-4E7E-A860-5196DD015D20},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Consulting","5","OU=Consulting,OU=Admin Staff,OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Inner Office","6","OU=Inner Office,OU=Consulting,OU=Admin Staff,OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"DC - Vienna","3","OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","{7F1C33CC-7D69-4D78-8356-310F6E580951}","False","False","False","[LDAP://CN={7F1C33CC-7D69-4D78-8356-310F6E580951},CN=Policies,CN=System,DC=solomonedwards,DC=com;1]","0"
"RJB","6","OU=RJB,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"z - Groups","4","OU=z - Groups,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"z - Groups","4","OU=z - Groups,OU=NJ - New Jersey,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Distribution Groups","5","OU=Distribution Groups,OU=z - Groups,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Mail Enabled Security Groups","5","OU=Mail Enabled Security Groups,OU=z - Groups,OU=DC - Vienna,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Distribution Groups","5","OU=Distribution Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"KnowBe4 Groups","4","OU=KnowBe4 Groups,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Test","5","OU=Test,OU=SessionHosts,OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com",,,,,"False"," ",""
"Group Policy Users","2","OU=Group Policy Users,OU=Organizational Units,DC=solomonedwards,DC=com","3","TS Client Time","False","True","False","[LDAP://CN={C75E1C3F-9BD3-4E7E-A860-5196DD015D20},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={7BF3B9FC-48F5-48BC-841C-319085991F67},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={C9FFCAD2-DB32-434A-A5FA-4EC44002CCC4},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Group Policy Users","2","OU=Group Policy Users,OU=Organizational Units,DC=solomonedwards,DC=com","2","Consulting","False","True","False","[LDAP://CN={C75E1C3F-9BD3-4E7E-A860-5196DD015D20},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={7BF3B9FC-48F5-48BC-841C-319085991F67},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={C9FFCAD2-DB32-434A-A5FA-4EC44002CCC4},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Group Policy Users","2","OU=Group Policy Users,OU=Organizational Units,DC=solomonedwards,DC=com","1","{C9FFCAD2-DB32-434A-A5FA-4EC44002CCC4}","False","True","False","[LDAP://CN={C75E1C3F-9BD3-4E7E-A860-5196DD015D20},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={7BF3B9FC-48F5-48BC-841C-319085991F67},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={C9FFCAD2-DB32-434A-A5FA-4EC44002CCC4},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"QuadTeam","1","OU=QuadTeam,DC=solomonedwards,DC=com",,,,,"False","",""
"z - Groups","4","OU=z - Groups,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Maintenance","5","OU=Maintenance,OU=SessionHosts,OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com",,,,,"True"," ","1"
"Distribution Groups","5","OU=Distribution Groups,OU=z - Groups,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Production","5","OU=Production,OU=SessionHosts,OU=XenDesktop,OU=Servers,OU=Rapidscale,DC=solomonedwards,DC=com",,,,,"False"," ",""
"Consulting","4","OU=Consulting,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"OL_Deactivated","1","OU=OL_Deactivated,DC=solomonedwards,DC=com",,,,,"False","",""
"SEGOfficeSolutions","2","OU=SEGOfficeSolutions,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"SolarWinds","4","OU=SolarWinds,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"GA - Atlanta","3","OU=GA - Atlanta,OU=SEGOfficeSolutions,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"OpenGate","1","OU=OpenGate,DC=solomonedwards,DC=com",,,,,"False","",""
"PA - Wayne","3","OU=PA - Wayne,OU=SEGOfficeSolutions,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"OpenGate Groups","2","OU=OpenGate Groups,OU=OpenGate,DC=solomonedwards,DC=com",,,,,"False","",""
"z - Groups","3","OU=z - Groups,OU=SEGOfficeSolutions,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Steele TAX","1","OU=Steele TAX,DC=solomonedwards,DC=com",,,,,"False","",""
"Dominion FC","1","OU=Dominion FC,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE","2","OU=FTE,OU=Steele TAX,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","2","OU=Project Consultants,OU=Steele TAX,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE","2","OU=FTE,OU=Dominion FC,DC=solomonedwards,DC=com",,,,,"False","",""
"extrateam","1","OU=extrateam,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","2","OU=Project Consultants,OU=Dominion FC,DC=solomonedwards,DC=com",,,,,"False","",""
"Ztest","6","OU=Ztest,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Z - Company Groups","2","OU=Z - Company Groups,OU=Steele TAX,DC=solomonedwards,DC=com",,,,,"False","",""
"Temp Recruiters","4","OU=Temp Recruiters,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","Outlook 2003 Editor Policy","False","True","False","[LDAP://CN={4D3685C3-94B7-4302-85D6-643AD623438C},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Z - Compnay Groups","2","OU=Z - Compnay Groups,OU=Dominion FC,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE Consultants","5","OU=FTE Consultants,OU=Consulting,OU=GA - Atlanta,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"DS","1","OU=DS,DC=solomonedwards,DC=com",,,,,"False","",""
"NY - New York","3","OU=NY - New York,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Z - Company Groups","2","OU=Z - Company Groups,OU=DS,DC=solomonedwards,DC=com",,,,,"False","",""
"Consulting","4","OU=Consulting,OU=NY - New York,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE","2","OU=FTE,OU=DS,DC=solomonedwards,DC=com",,,,,"False","",""
"Inner Office","5","OU=Inner Office,OU=Consulting,OU=NY - New York,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Project Consultants","2","OU=Project Consultants,OU=DS,DC=solomonedwards,DC=com",,,,,"False","",""
"Temp Recruiters","4","OU=Temp Recruiters,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Harbor","1","OU=Harbor,DC=solomonedwards,DC=com",,,,,"False","",""
"Gennetx","3","OU=Gennetx,OU=Allowed Vendors,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Segway","6","OU=Segway,OU=I.T. Services,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","Segway","False","True","False","[LDAP://cn={BD1F909B-4ED7-42A1-9AD3-5656D9E18320},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"exaltaret","2","OU=exaltaret,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Perm Recruiters","4","OU=Perm Recruiters,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","1","{7F1C33CC-7D69-4D78-8356-310F6E580951}","False","True","False","[LDAP://CN={7F1C33CC-7D69-4D78-8356-310F6E580951},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Renovous","3","OU=Renovous,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Admin Staff","4","OU=Admin Staff,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"FTE Consultants","5","OU=FTE Consultants,OU=Consulting,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Admin Staff","4","OU=Admin Staff,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False"," ","0"
"Temp Recruiters","4","OU=Temp Recruiters,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"Delete ME","6","OU=Delete ME,OU=Mail Enabled Security Groups,OU=z - Groups,OU=ILL - Chicago,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"z - Groups","4","OU=z - Groups,OU=NY - New York,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"solomonedwards","0","DC=solomonedwards,DC=com","6","Segway","False","True","False","[LDAP://cn={BD1F909B-4ED7-42A1-9AD3-5656D9E18320},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={5ABDEC84-8135-4558-B8B8-4A83249C8F34},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={86C92A8B-1464-4005-ACB8-298EA2F2C882},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={931B76A3-6D98-408C-8261-DFAC2C31B6DD},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"solomonedwards","0","DC=solomonedwards,DC=com","5","SharePointIESettings","False","True","False","[LDAP://cn={BD1F909B-4ED7-42A1-9AD3-5656D9E18320},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={5ABDEC84-8135-4558-B8B8-4A83249C8F34},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={86C92A8B-1464-4005-ACB8-298EA2F2C882},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={931B76A3-6D98-408C-8261-DFAC2C31B6DD},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"solomonedwards","0","DC=solomonedwards,DC=com","4","Remote Access","False","True","False","[LDAP://cn={BD1F909B-4ED7-42A1-9AD3-5656D9E18320},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={5ABDEC84-8135-4558-B8B8-4A83249C8F34},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={86C92A8B-1464-4005-ACB8-298EA2F2C882},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={931B76A3-6D98-408C-8261-DFAC2C31B6DD},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"solomonedwards","0","DC=solomonedwards,DC=com","3","Default Domain Policy","False","True","False","[LDAP://cn={BD1F909B-4ED7-42A1-9AD3-5656D9E18320},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={5ABDEC84-8135-4558-B8B8-4A83249C8F34},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={86C92A8B-1464-4005-ACB8-298EA2F2C882},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={931B76A3-6D98-408C-8261-DFAC2C31B6DD},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"solomonedwards","0","DC=solomonedwards,DC=com","2","solomonedwards.com_ADAuditPlusPolicy","False","True","False","[LDAP://cn={BD1F909B-4ED7-42A1-9AD3-5656D9E18320},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={5ABDEC84-8135-4558-B8B8-4A83249C8F34},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={86C92A8B-1464-4005-ACB8-298EA2F2C882},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={931B76A3-6D98-408C-8261-DFAC2C31B6DD},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"solomonedwards","0","DC=solomonedwards,DC=com","1","solomonedwards.com_ADAuditPlusWSPolicy","False","True","False","[LDAP://cn={BD1F909B-4ED7-42A1-9AD3-5656D9E18320},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://cn={5ABDEC84-8135-4558-B8B8-4A83249C8F34},cn=policies,cn=system,DC=solomonedwards,DC=com;0][LDAP://CN={7C1088A6-0F24-45C8-9AD0-79C7E43A56C9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={86C92A8B-1464-4005-ACB8-298EA2F2C882},CN=Policies,CN=System,DC=solomonedwards,DC=com;0][LDAP://CN={931B76A3-6D98-408C-8261-DFAC2C31B6DD},CN=Policies,CN=System,DC=solomonedwards,DC=com;0]","0"
"Project Based Accounts","2","OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"iCore-Cloud","0","CN=iCore-Cloud,CN=Sites,CN=Configuration,DC=solomonedwards,DC=com",,,,,"False","",""
"MSquared Contacts","3","OU=MSquared Contacts,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"PA-KingOfPrussia","0","CN=PA-KingOfPrussia,CN=Sites,CN=Configuration,DC=solomonedwards,DC=com",,,,,"False","",""
"SF - Cons FWD Contacts","5","OU=SF - Cons FWD Contacts,OU=SF - Consultants,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"ILL-Chicago","0","CN=ILL-Chicago,CN=Sites,CN=Configuration,DC=solomonedwards,DC=com",,,,,"False","",""
"z - Groups","4","OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"VA-Vienna","0","CN=VA-Vienna,CN=Sites,CN=Configuration,DC=solomonedwards,DC=com",,,,,"False","",""
"LiquidHub","3","OU=LiquidHub,OU=Allowed Vendors,OU=Organizational Units,DC=solomonedwards,DC=com",,,,,"False","",""
"GA-Atlanta","0","CN=GA-Atlanta,CN=Sites,CN=Configuration,DC=solomonedwards,DC=com",,,,,"False","",""
"_Migration from Msquared to SolomonEdwards","1","OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","1","Post-Migration GPO","False","True","False","[LDAP://cn={48F45D60-4E7E-4E48-B352-3DC82A18646A},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"TX-HOU","0","CN=TX-HOU,CN=Sites,CN=Configuration,DC=solomonedwards,DC=com",,,,,"False","",""
"CA-SanFrancisco","0","CN=CA-SanFrancisco,CN=Sites,CN=Configuration,DC=solomonedwards,DC=com",,,,,"False","",""
"Post WorkStation Migration","2","OU=Post WorkStation Migration,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","1","Post ADMT Migration","False","True","False","[LDAP://cn={EAC4D18A-0BC5-4622-B6AF-2BE9E8262020},cn=policies,cn=system,DC=solomonedwards,DC=com;0]",""
"DR-Site","0","CN=DR-Site,CN=Sites,CN=Configuration,DC=solomonedwards,DC=com",,,,,"False","",""
"Groups","2","OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com",,,,,"False","",""
"Users","2","OU=Users,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com",,,,,"False","",""
